Id_sentence_all,Id_sentence_candidate,text_new,Select,Who,Democrat,When,Where,VG,Comment_V
2273,128," Look, nobody, no cop, no firefighter, no nurse, nobody should be losing their jobs because of these jabs",1,DeSantis,0,11/8/21,,1,Will of the people; Manichean (good/evil)
2283,139," Trucking, nurses, all this other stuff and probably most importantly, what they're doing is unconstitutional, and we have a responsibility to stand up for the constitution and that's what we're doing",1,DeSantis,0,11/8/21,,1,Manichean (good/evil); Will of the people
2287,143," I don't know, but they're threatening to throw out people from work in the State of Florida",1,DeSantis,0,11/8/21,,1,Us vs them; Manichean (good/evil)
2290,146," And so we have a responsibility yes, to stand up against Biden's mandates, but we have a responsibility to protect Floridians regardless of those mandates",1,DeSantis,0,11/8/21,,1,Will of the people; Us vs them; Manichean (good/evil)
2356,220," Biden said cops should get fired, nurses should get fired",1,DeSantis,0,11/8/21,,1,Manichean (good/evil)
2516,402," No nurse, no firefighter, no police officer, no trucker, no anybody should lose their job because of these COVID jabs",1,DeSantis,0,11/18/21,,1,Will of the people
2545,434,When they would criticize us because we actually wanted to have our kids in school in person,1,DeSantis,0,11/18/21,,1,Us vs them
2646,546, We protected people's jobs,1,DeSantis,0,2/24/22,"Orlando, FL",1,Will of the people
2647,547," We protected small businesses, and we made sure that every kid in the state of Florida had an opportunity to go to school in person five days a week",1,DeSantis,0,2/24/22,"Orlando, FL",1,Will of the people
2700,615,"And we are in the process of getting money from the legislature so that if Biden is dumping illegal aliens into Florida from the southern border, I'm rerouting them to Delaware",1,DeSantis,0,2/24/22,"Orlando, FL",1,Us vs them; Manichean (good/evil)
2705,624,"We were the first big state to legislate against big tech censorship because they want to silence us they want to de-platform us, and we cannot have a free society If most of the speech in this country is controlled by a handful of left wing oligarchs in Silicon Valley",1,DeSantis,0,2/24/22,"Orlando, FL",1,Anti-elitism; Us vs them
2766,703,"They're doing that though, the left wants to do that because their goal is not to make our country great",1,DeSantis,0,2/24/22,"Orlando, FL",1,Us vs them; Manichean (good/evil)
2769,706, They want us to be voiceless,1,DeSantis,0,2/24/22,"Orlando, FL",1,Us vs them; Manichean (good/evil)
2772,709,The woke is the new religion of the left,1,DeSantis,0,2/24/22,"Orlando, FL",1,Manichean (good/evil); cosmic propositions
2774,711," That's why they want CRT, because they want to divide the country",1,DeSantis,0,2/24/22,"Orlando, FL",1,Us vs them; Manichean (good/evil)
2776,714,Wokism is a form of cultural Marxism,1,DeSantis,0,2/24/22,"Orlando, FL",1,Manichean (good/evil)
2779,718,And the problem that we face as conservatives is a lot of major institutions in our country have become infected with this woke virus,1,DeSantis,0,2/24/22,"Orlando, FL",1,Manichean (good/evil); cosmic propositions
2781,720, Do we even need to discuss that? Their main objective now is to impose an ideological worldview on the people that come through their universities,1,DeSantis,0,2/24/22,"Orlando, FL",1,Anti-elitism; Manichean (good/evil)
